date,productId,productName,quantity,unitPrice,totalAmount
2023-01-15,SKU001,Cotton T-Shirt (Black),12,19.99,239.88
2023-01-22,SKU001,Cotton T-Shirt (Black),8,19.99,159.92
2023-01-29,SKU001,Cotton T-Shirt (Black),15,19.99,299.85
2023-02-05,SKU001,Cotton T-Shirt (Black),10,24.99,249.90
2023-02-12,SKU001,Cotton T-Shirt (Black),18,24.99,449.82
2023-02-19,SKU001,Cotton T-Shirt (Black),22,24.99,549.78
2023-02-26,SKU001,Cotton T-Shirt (Black),14,24.99,349.86
2023-03-05,SKU001,Cotton T-Shirt (Black),11,22.99,252.89
2023-03-12,SKU001,Cotton T-Shirt (Black),16,22.99,367.84
2023-03-19,SKU001,Cotton T-Shirt (Black),19,22.99,436.81
2023-04-05,SKU001,Cotton T-Shirt (Black),15,22.99,344.85
2023-04-15,SKU001,Cotton T-Shirt (Black),20,22.99,459.80
2023-04-25,SKU001,Cotton T-Shirt (Black),17,22.99,390.83
2023-05-05,SKU001,Cotton T-Shirt (Black),21,24.99,524.79
2023-05-15,SKU001,Cotton T-Shirt (Black),25,24.99,624.75
2023-05-25,SKU001,Cotton T-Shirt (Black),19,24.99,474.81
2023-06-05,SKU001,Cotton T-Shirt (Black),30,24.99,749.70
2023-06-15,SKU001,Cotton T-Shirt (Black),35,24.99,874.65
2023-06-25,SKU001,Cotton T-Shirt (Black),32,24.99,799.68
2023-07-05,SKU001,Cotton T-Shirt (Black),27,19.99,539.73
2023-07-15,SKU001,Cotton T-Shirt (Black),23,19.99,459.77
2023-07-25,SKU001,Cotton T-Shirt (Black),28,19.99,559.72
2023-08-05,SKU001,Cotton T-Shirt (Black),31,19.99,619.69
2023-08-15,SKU001,Cotton T-Shirt (Black),29,19.99,579.71
2023-08-25,SKU001,Cotton T-Shirt (Black),33,19.99,659.67
2023-09-05,SKU001,Cotton T-Shirt (Black),24,22.99,551.76
2023-09-15,SKU001,Cotton T-Shirt (Black),26,22.99,597.74
2023-09-25,SKU001,Cotton T-Shirt (Black),22,22.99,505.78
2023-10-05,SKU001,Cotton T-Shirt (Black),19,22.99,436.81
2023-10-15,SKU001,Cotton T-Shirt (Black),18,22.99,413.82
2023-10-25,SKU001,Cotton T-Shirt (Black),20,22.99,459.80
2023-11-05,SKU001,Cotton T-Shirt (Black),28,24.99,699.72
2023-11-15,SKU001,Cotton T-Shirt (Black),35,24.99,874.65
2023-11-25,SKU001,Cotton T-Shirt (Black),42,24.99,1049.58
2023-12-05,SKU001,Cotton T-Shirt (Black),48,24.99,1199.52
2023-12-15,SKU001,Cotton T-Shirt (Black),52,24.99,1299.48
2023-12-25,SKU001,Cotton T-Shirt (Black),60,24.99,1499.40
2024-01-05,SKU001,Cotton T-Shirt (Black),40,24.99,999.60
2024-01-15,SKU001,Cotton T-Shirt (Black),35,24.99,874.65
2024-01-25,SKU001,Cotton T-Shirt (Black),30,24.99,749.70
2024-02-05,SKU001,Cotton T-Shirt (Black),25,24.99,624.75
2024-02-15,SKU001,Cotton T-Shirt (Black),27,24.99,674.73
2024-02-25,SKU001,Cotton T-Shirt (Black),29,24.99,724.71
2024-03-05,SKU001,Cotton T-Shirt (Black),32,26.99,863.68
2024-03-15,SKU001,Cotton T-Shirt (Black),36,26.99,971.64
2024-03-25,SKU001,Cotton T-Shirt (Black),38,26.99,1025.62
2024-04-05,SKU001,Cotton T-Shirt (Black),40,26.99,1079.60
2024-04-15,SKU001,Cotton T-Shirt (Black),42,26.99,1133.58
2024-04-25,SKU001,Cotton T-Shirt (Black),45,26.99,1214.55
2024-05-05,SKU001,Cotton T-Shirt (Black),48,26.99,1295.52
2024-05-15,SKU001,Cotton T-Shirt (Black),50,26.99,1349.50
2024-05-25,SKU001,Cotton T-Shirt (Black),52,26.99,1403.48
2023-01-15,SKU002,Premium Hoodie (Gray),5,39.99,199.95
2023-01-25,SKU002,Premium Hoodie (Gray),7,39.99,279.93
2023-02-05,SKU002,Premium Hoodie (Gray),9,39.99,359.91
2023-02-15,SKU002,Premium Hoodie (Gray),8,44.99,359.92
2023-02-25,SKU002,Premium Hoodie (Gray),10,44.99,449.90
2023-03-05,SKU002,Premium Hoodie (Gray),12,44.99,539.88
2023-03-15,SKU002,Premium Hoodie (Gray),9,42.99,386.91
2023-03-25,SKU002,Premium Hoodie (Gray),11,42.99,472.89
2023-04-05,SKU002,Premium Hoodie (Gray),13,42.99,558.87
2023-04-15,SKU002,Premium Hoodie (Gray),15,42.99,644.85
2023-04-25,SKU002,Premium Hoodie (Gray),14,42.99,601.86
2023-05-05,SKU002,Premium Hoodie (Gray),12,44.99,539.88
2023-05-15,SKU002,Premium Hoodie (Gray),10,44.99,449.90
2023-05-25,SKU002,Premium Hoodie (Gray),8,44.99,359.92
2023-06-05,SKU002,Premium Hoodie (Gray),7,44.99,314.93
2023-06-15,SKU002,Premium Hoodie (Gray),5,44.99,224.95
2023-06-25,SKU002,Premium Hoodie (Gray),4,44.99,179.96
2023-07-05,SKU002,Premium Hoodie (Gray),3,39.99,119.97
2023-07-15,SKU002,Premium Hoodie (Gray),4,39.99,159.96
2023-07-25,SKU002,Premium Hoodie (Gray),5,39.99,199.95
2023-08-05,SKU002,Premium Hoodie (Gray),6,39.99,239.94
2023-08-15,SKU002,Premium Hoodie (Gray),7,39.99,279.93
2023-08-25,SKU002,Premium Hoodie (Gray),8,39.99,319.92
2023-09-05,SKU002,Premium Hoodie (Gray),10,42.99,429.90
2023-09-15,SKU002,Premium Hoodie (Gray),12,42.99,515.88
2023-09-25,SKU002,Premium Hoodie (Gray),14,42.99,601.86
2023-10-05,SKU002,Premium Hoodie (Gray),16,42.99,687.84
2023-10-15,SKU002,Premium Hoodie (Gray),18,42.99,773.82
2023-10-25,SKU002,Premium Hoodie (Gray),20,42.99,859.80
2023-11-05,SKU002,Premium Hoodie (Gray),24,44.99,1079.76
2023-11-15,SKU002,Premium Hoodie (Gray),28,44.99,1259.72
2023-11-25,SKU002,Premium Hoodie (Gray),32,44.99,1439.68
2023-12-05,SKU002,Premium Hoodie (Gray),36,44.99,1619.64
2023-12-15,SKU002,Premium Hoodie (Gray),40,44.99,1799.60
2023-12-25,SKU002,Premium Hoodie (Gray),44,44.99,1979.56
2024-01-05,SKU002,Premium Hoodie (Gray),38,44.99,1709.62
2024-01-15,SKU002,Premium Hoodie (Gray),34,44.99,1529.66
2024-01-25,SKU002,Premium Hoodie (Gray),30,44.99,1349.70
2024-02-05,SKU002,Premium Hoodie (Gray),26,44.99,1169.74
2024-02-15,SKU002,Premium Hoodie (Gray),22,44.99,989.78
2024-02-25,SKU002,Premium Hoodie (Gray),18,44.99,809.82
2024-03-05,SKU002,Premium Hoodie (Gray),20,46.99,939.80
2024-03-15,SKU002,Premium Hoodie (Gray),22,46.99,1033.78
2024-03-25,SKU002,Premium Hoodie (Gray),25,46.99,1174.75
2024-04-05,SKU002,Premium Hoodie (Gray),28,46.99,1315.72
2024-04-15,SKU002,Premium Hoodie (Gray),30,46.99,1409.70
2024-04-25,SKU002,Premium Hoodie (Gray),32,46.99,1503.68
2024-05-05,SKU002,Premium Hoodie (Gray),35,46.99,1644.65
2024-05-15,SKU002,Premium Hoodie (Gray),38,46.99,1785.62
2024-05-25,SKU002,Premium Hoodie (Gray),40,46.99,1879.60
2023-01-15,SKU003,Denim Jeans (Blue),6,59.99,359.94
2023-01-25,SKU003,Denim Jeans (Blue),7,59.99,419.93
2023-02-05,SKU003,Denim Jeans (Blue),8,59.99,479.92
2023-02-15,SKU003,Denim Jeans (Blue),9,64.99,584.91
2023-02-25,SKU003,Denim Jeans (Blue),10,64.99,649.90
2023-03-05,SKU003,Denim Jeans (Blue),11,64.99,714.89
2023-03-15,SKU003,Denim Jeans (Blue),12,69.99,839.88
2023-03-25,SKU003,Denim Jeans (Blue),13,69.99,909.87
2023-04-05,SKU003,Denim Jeans (Blue),12,69.99,839.88
2023-04-15,SKU003,Denim Jeans (Blue),11,69.99,769.89
2023-04-25,SKU003,Denim Jeans (Blue),10,69.99,699.90
2023-05-05,SKU003,Denim Jeans (Blue),9,64.99,584.91
2023-05-15,SKU003,Denim Jeans (Blue),8,64.99,519.92
2023-05-25,SKU003,Denim Jeans (Blue),7,64.99,454.93
2023-06-05,SKU003,Denim Jeans (Blue),5,64.99,324.95
2023-06-15,SKU003,Denim Jeans (Blue),4,64.99,259.96
2023-06-25,SKU003,Denim Jeans (Blue),3,64.99,194.97
2023-07-05,SKU003,Denim Jeans (Blue),4,59.99,239.96
2023-07-15,SKU003,Denim Jeans (Blue),5,59.99,299.95
2023-07-25,SKU003,Denim Jeans (Blue),6,59.99,359.94
2023-08-05,SKU003,Denim Jeans (Blue),7,59.99,419.93
2023-08-15,SKU003,Denim Jeans (Blue),8,59.99,479.92
2023-08-25,SKU003,Denim Jeans (Blue),9,59.99,539.91
2023-09-05,SKU003,Denim Jeans (Blue),10,69.99,699.90
2023-09-15,SKU003,Denim Jeans (Blue),11,69.99,769.89
2023-09-25,SKU003,Denim Jeans (Blue),12,69.99,839.88
2023-10-05,SKU003,Denim Jeans (Blue),13,69.99,909.87
2023-10-15,SKU003,Denim Jeans (Blue),14,69.99,979.86
2023-10-25,SKU003,Denim Jeans (Blue),15,69.99,1049.85
2023-11-05,SKU003,Denim Jeans (Blue),17,64.99,1104.83
2023-11-15,SKU003,Denim Jeans (Blue),19,64.99,1234.81
2023-11-25,SKU003,Denim Jeans (Blue),21,64.99,1364.79
2023-12-05,SKU003,Denim Jeans (Blue),23,64.99,1494.77
2023-12-15,SKU003,Denim Jeans (Blue),25,64.99,1624.75
2023-12-25,SKU003,Denim Jeans (Blue),27,64.99,1754.73
2024-01-05,SKU003,Denim Jeans (Blue),24,64.99,1559.76
2024-01-15,SKU003,Denim Jeans (Blue),22,64.99,1429.78
2024-01-25,SKU003,Denim Jeans (Blue),20,64.99,1299.80
2024-02-05,SKU003,Denim Jeans (Blue),18,64.99,1169.82
2024-02-15,SKU003,Denim Jeans (Blue),16,64.99,1039.84
2024-02-25,SKU003,Denim Jeans (Blue),14,64.99,909.86
2024-03-05,SKU003,Denim Jeans (Blue),15,74.99,1124.85
2024-03-15,SKU003,Denim Jeans (Blue),16,74.99,1199.84
2024-03-25,SKU003,Denim Jeans (Blue),18,74.99,1349.82
2024-04-05,SKU003,Denim Jeans (Blue),20,74.99,1499.80
2024-04-15,SKU003,Denim Jeans (Blue),22,74.99,1649.78
2024-04-25,SKU003,Denim Jeans (Blue),24,74.99,1799.76
2024-05-05,SKU003,Denim Jeans (Blue),26,74.99,1949.74
2024-05-15,SKU003,Denim Jeans (Blue),28,74.99,2099.72
2024-05-25,SKU003,Denim Jeans (Blue),30,74.99,2249.70
2022-01-15,SKU001,Cotton T-Shirt (Black),5,17.99,89.95
2022-02-15,SKU001,Cotton T-Shirt (Black),7,17.99,125.93
2022-03-15,SKU001,Cotton T-Shirt (Black),9,18.99,170.91
2022-04-15,SKU001,Cotton T-Shirt (Black),11,18.99,208.89
2022-05-15,SKU001,Cotton T-Shirt (Black),13,19.99,259.87
2022-06-15,SKU001,Cotton T-Shirt (Black),15,19.99,299.85
2022-07-15,SKU001,Cotton T-Shirt (Black),14,17.99,251.86
2022-08-15,SKU001,Cotton T-Shirt (Black),16,17.99,287.84
2022-09-15,SKU001,Cotton T-Shirt (Black),18,18.99,341.82
2022-10-15,SKU001,Cotton T-Shirt (Black),20,18.99,379.80
2022-11-15,SKU001,Cotton T-Shirt (Black),22,19.99,439.78
2022-12-15,SKU001,Cotton T-Shirt (Black),24,19.99,479.76
2022-01-15,SKU002,Premium Hoodie (Gray),3,37.99,113.97
2022-02-15,SKU002,Premium Hoodie (Gray),4,37.99,151.96
2022-03-15,SKU002,Premium Hoodie (Gray),5,38.99,194.95
2022-04-15,SKU002,Premium Hoodie (Gray),6,38.99,233.94
2022-05-15,SKU002,Premium Hoodie (Gray),7,39.99,279.93
2022-06-15,SKU002,Premium Hoodie (Gray),8,39.99,319.92
2022-07-15,SKU002,Premium Hoodie (Gray),7,37.99,265.93
2022-08-15,SKU002,Premium Hoodie (Gray),8,37.99,303.92
2022-09-15,SKU002,Premium Hoodie (Gray),9,38.99,350.91
2022-10-15,SKU002,Premium Hoodie (Gray),10,38.99,389.90
2022-11-15,SKU002,Premium Hoodie (Gray),11,39.99,439.89
2022-12-15,SKU002,Premium Hoodie (Gray),12,39.99,479.88
2022-01-15,SKU003,Denim Jeans (Blue),2,55.99,111.98
2022-02-15,SKU003,Denim Jeans (Blue),3,55.99,167.97
2022-03-15,SKU003,Denim Jeans (Blue),4,56.99,227.96
2022-04-15,SKU003,Denim Jeans (Blue),5,56.99,284.95
2022-05-15,SKU003,Denim Jeans (Blue),6,59.99,359.94
2022-06-15,SKU003,Denim Jeans (Blue),7,59.99,419.93
2022-07-15,SKU003,Denim Jeans (Blue),6,55.99,335.94
2022-08-15,SKU003,Denim Jeans (Blue),7,55.99,391.93
2022-09-15,SKU003,Denim Jeans (Blue),8,56.99,455.92
2022-10-15,SKU003,Denim Jeans (Blue),9,56.99,512.91
2022-11-15,SKU003,Denim Jeans (Blue),10,59.99,599.90
2022-12-15,SKU003,Denim Jeans (Blue),11,59.99,659.89 